race_ethnicity,total,moe,labor_force_rate
        White alone,3012082,9726,64.6
        Black or African American alone,1651840,5464,61.1
        American Indian and Alaska Native alone,28702,1826,61
        Asian alone,989026,2746,63.4
        Native Hawaiian and Other Pacific Islander alone,3715,550,64.5
        Some other race alone,972776,11783,63.5
        Two or more races,202219,5309,67.4
        Hispanic or Latino origin (of any race),1896047,999,62.4
"        White alone, not Hispanic or Latino",2300505,1573,65.8
